MONTH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED
2005 / 07,02,2863.2,420.2,302.5
2005 / 08,14,3420.7,280.7,217.0
2005 / 08,04,4857.8,471.7,354.8
2005 / 09,05,5189.3,916.8,612.3
2005 / 10,10,4382.5,599.6,428.0
2005 / 10,03,5394.1,493.9,411.3
2005 / 10,14,3073.4,321.7,200.9
2005 / 11,11,3580.2,795.7,363.1
2005 / 11,10,4178.9,545.3,403.6
2005 / 11,04,4504.9,410.4,299.1
2006 / 03,04,4183.1,402.0,322.9
2006 / 03,10,3680.0,533.5,404.3
2006 / 03,07,6194.8,1107.9,538.7
2006 / 04,01,4498.1,721.0,460.7
2006 / 05,08,4403.4,609.0,333.8
2006 / 05,14,3373.8,293.4,199.0
2006 / 06,05,5569.8,965.9,643.9
2006 / 06,07,7589.0,1302.0,616.9
2006 / 06,08,4409.9,674.8,359.4
2006 / 06,13,7055.8,871.0,720.5
2006 / 07,04,4737.7,424.4,320.6
2006 / 08,13,6702.3,814.3,703.8
2006 / 08,09,4740.5,553.8,409.5
2006 / 08,14,3166.1,284.3,224.2
2006 / 09,14,2989.0,298.1,207.0
2006 / 09,09,4522.7,543.8,368.3
2006 / 09,04,4465.8,445.7,311.2
2006 / 10,02,2844.1,424.9,252.7
2006 / 10,03,5169.4,439.1,352.0
2006 / 11,08,3847.5,651.0,296.0
2007 / 02,03,3934.1,342.3,315.8
2007 / 03,07,6072.4,1200.4,539.6
2007 / 06,11,3646.8,754.1,405.8
2007 / 07,14,3287.7,271.0,210.7
2007 / 07,03,5096.3,431.7,387.2
2007 / 08,06,3236.0,614.5,314.1
2007 / 08,05,5633.8,943.0,627.2
2007 / 08,04,4831.2,459.2,324.0
2007 / 09,14,2767.8,262.9,197.6
2007 / 09,04,4266.1,390.5,287.5
2007 / 10,05,5408.9,878.4,569.8
2007 / 11,11,3398.4,733.0,361.4
2007 / 11,04,4355.9,399.6,288.9
2007 / 12,09,4096.2,562.7,364.1
2007 / 12,06,3069.9,576.5,281.9
2008 / 01,14,2514.4,281.2,202.9
2008 / 02,02,2397.0,360.7,244.4
2008 / 05,05,5388.1,832.2,571.5
2008 / 05,11,3720.1,672.1,363.2
2008 / 05,13,6509.2,709.6,583.4
2008 / 06,04,4468.2,391.5,283.7
2008 / 07,07,7146.2,1030.8,582.6
2008 / 08,03,4727.5,438.9,377.2
2008 / 10,01,4532.1,656.6,462.9
2008 / 10,03,4794.1,426.3,389.1
2008 / 10,09,4127.3,473.9,377.7
2008 / 10,04,4391.9,386.4,291.7
2008 / 11,09,3905.4,439.0,338.9
2008 / 11,04,4073.1,331.6,266.0
2008 / 11,01,4206.0,596.7,428.4
2008 / 12,05,5053.8,926.7,605.0
2009 / 02,10,2718.6,359.9,319.9
2009 / 02,01,3721.8,511.6,414.4
2009 / 03,12,5855.1,460.1,521.6
2009 / 04,01,4414.6,582.8,477.7
2009 / 05,09,4401.0,452.9,368.4
2009 / 06,01,4770.3,716.1,514.1
2009 / 07,01,4710.4,611.3,477.7
2009 / 07,05,5336.9,706.5,616.7
2009 / 08,03,5065.1,393.5,399.9
2009 / 08,06,2840.7,436.4,299.0
2009 / 08,04,4627.3,360.9,314.4
2009 / 08,02,2844.0,364.9,291.6
2009 / 10,07,6692.1,971.9,567.0
2009 / 10,05,5228.2,754.6,563.3
2009 / 11,10,3762.1,407.3,323.8
2009 / 12,03,4787.3,459.5,394.2
2009 / 12,07,6375.0,1072.4,584.8
2009 / 12,10,3537.2,518.0,388.8
2009 / 12,02,2768.5,440.5,283.4
2010 / 01,06,2569.1,436.8,297.1
2010 / 01,11,2532.4,559.5,340.8
2010 / 02,14,2068.5,185.4,137.7
2010 / 02,07,4594.8,662.4,425.7
2010 / 02,03,3452.5,269.9,273.3
2010 / 03,05,5502.8,784.0,577.5
2010 / 03,08,3734.3,573.7,353.9
2010 / 05,10,3964.5,409.1,368.4
2010 / 05,05,5053.3,718.0,521.1
2010 / 06,12,7676.0,531.0,640.5
2010 / 06,03,5278.3,412.5,380.6
2010 / 07,02,2876.0,371.5,276.7
2010 / 08,10,3874.7,427.4,374.5
2010 / 09,11,3293.2,574.5,334.8
2010 / 10,01,4144.3,589.0,432.9
2010 / 10,10,3719.5,434.5,357.5
2010 / 10,04,4317.8,360.8,277.5
2010 / 11,10,3917.1,414.1,350.2
2010 / 11,05,5228.8,722.7,488.2
2010 / 11,04,4414.5,324.8,243.6
2010 / 12,03,3679.4,376.2,331.4
2011 / 01,14,2732.5,224.5,175.7
2011 / 01,09,3624.1,446.7,381.4
2011 / 01,06,2812.0,436.0,283.6
2011 / 01,11,2752.5,527.8,320.4
2011 / 01,10,3386.5,344.4,308.5
2011 / 02,03,4364.0,393.3,385.9
2011 / 03,11,2977.4,571.1,328.4
2011 / 04,12,6520.9,498.6,561.6
2011 / 04,14,3038.6,247.7,198.7
2011 / 05,03,5121.3,357.4,329.7
2011 / 07,13,5703.1,570.0,599.7
2011 / 07,02,2707.2,358.9,259.7
2011 / 08,06,3125.2,434.4,267.8
2011 / 08,01,4697.8,608.8,457.0
2011 / 09,07,6868.5,929.7,542.1
2011 / 09,03,5021.0,415.9,376.6
2011 / 10,08,3657.8,503.8,319.6
2011 / 10,01,4219.3,604.9,438.0
