MONTH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED
2015 / 01,08,2260.0,302.4,286.9
2015 / 02,11,2234.5,230.5,246.4
2015 / 04,01,1795.4,89.9,101.2
2015 / 05,10,2641.9,306.1,327.1
2015 / 07,02,1550.4,105.7,131.3
2015 / 07,01,1961.6,103.0,108.5
2015 / 07,11,3271.9,295.2,298.8
2015 / 09,07,3594.6,258.8,348.2
2015 / 10,05,3396.8,195.5,277.9
2015 / 11,11,3096.7,268.5,248.5
2015 / 12,01,1950.9,126.2,135.6
2015 / 12,02,1578.6,126.2,160.0
2016 / 01,12,3237.6,293.3,388.6
2016 / 01,03,1744.3,79.0,116.5
2016 / 02,12,3267.3,378.2,504.0
2016 / 02,04,3894.7,241.5,323.0
2016 / 02,08,2097.8,367.1,367.7
2016 / 03,05,3519.9,207.0,314.1
2016 / 03,02,1477.2,95.6,139.4
2016 / 04,08,2252.9,319.8,320.6
2016 / 04,07,3534.6,240.4,361.2
2016 / 06,03,1997.4,146.9,186.6
2016 / 08,01,2015.0,116.9,146.5
2016 / 08,04,4288.3,223.7,319.5
2016 / 08,08,2422.8,346.7,354.4
2016 / 08,06,2286.9,137.5,214.3
2016 / 09,01,1881.7,112.6,132.7
2016 / 10,01,1863.0,102.8,124.6
2016 / 11,05,3507.0,203.7,325.3
2016 / 11,06,2215.2,145.6,219.6
2016 / 12,06,2187.9,140.9,172.4
2016 / 12,07,3798.7,336.1,424.7
2016 / 12,03,1959.0,132.3,142.0
2017 / 01,12,3535.7,387.0,503.5
2017 / 01,06,2115.5,140.4,195.8
2017 / 03,02,1474.1,103.4,159.1
2017 / 03,03,2003.9,121.1,156.8
2017 / 04,08,2310.7,319.2,324.1
2017 / 04,02,1456.9,89.0,137.5
2017 / 05,03,2115.8,119.5,175.1
2017 / 07,10,2652.8,339.2,384.4
2017 / 07,02,1507.2,84.6,135.2
2017 / 08,09,4003.6,215.7,335.8
2017 / 09,06,2118.4,115.2,169.1
2017 / 09,09,3820.2,199.4,321.2
2017 / 09,01,1870.6,105.1,131.2
2017 / 09,10,2458.8,333.8,358.3
2017 / 10,05,3510.6,183.1,304.3
2017 / 10,11,2888.6,272.0,290.4
2017 / 10,10,2430.9,312.2,338.2
2017 / 11,04,4199.8,212.5,306.2
2017 / 12,07,3590.9,287.6,387.2
2018 / 01,10,2309.7,348.7,360.7
2018 / 01,11,2813.2,314.0,325.0
2018 / 02,11,2493.2,266.0,275.0
2018 / 02,02,1315.9,82.5,133.3
2018 / 03,03,1893.4,121.8,152.2
2018 / 04,05,3337.8,187.4,296.0
2018 / 04,01,1832.8,114.0,127.9
2018 / 04,11,2828.5,278.3,299.8
2018 / 05,08,2511.4,340.3,368.1
2018 / 05,10,2865.9,329.5,402.1
2018 / 05,01,1975.9,109.9,128.0
2018 / 07,07,3861.0,283.0,427.7
2018 / 07,11,3181.5,302.5,333.8
2018 / 08,10,2627.6,319.8,428.4
2018 / 09,07,3586.9,266.8,410.9
2018 / 09,08,2250.1,329.3,337.3
2018 / 11,11,3102.4,310.6,332.5
2018 / 11,06,2213.6,129.1,174.7
2018 / 12,05,3565.2,233.5,299.5
2018 / 12,03,1921.7,120.6,133.7
2019 / 01,03,1951.3,167.1,218.5
2019 / 02,04,3513.9,194.7,297.3
2019 / 02,08,2031.4,275.6,321.5
2019 / 03,10,2283.3,295.3,383.8
2019 / 04,04,4078.5,247.7,363.7
2019 / 04,05,3513.2,207.9,329.1
2019 / 04,09,3813.8,209.0,339.5
2019 / 05,11,3266.2,290.8,367.5
2019 / 06,07,3525.3,269.4,429.8
2019 / 07,02,1593.5,106.0,141.9
2019 / 08,02,1576.1,126.8,180.2
2019 / 08,04,4155.0,241.3,358.5
2019 / 08,06,2322.9,131.1,186.2
2019 / 09,12,3567.6,322.3,547.0
2019 / 09,11,2951.2,251.7,319.7
2019 / 10,11,2911.6,268.4,330.6
2019 / 11,06,2098.4,128.1,178.7
2019 / 11,08,2260.4,316.3,337.7
2019 / 12,01,2030.1,164.9,176.5
2019 / 12,06,2218.4,152.4,191.7
2020 / 02,04,3589.5,212.3,335.3
2020 / 03,05,3391.8,206.3,335.9
2020 / 04,02,1480.8,102.0,170.9
2020 / 05,01,2225.8,150.9,159.2
2020 / 06,01,2430.3,207.1,209.4
2020 / 06,11,3745.5,345.4,521.1
2020 / 07,05,4120.4,331.8,435.4
2020 / 08,11,3655.9,281.5,468.0
2020 / 09,11,3443.4,281.5,447.6
2020 / 10,02,1736.9,157.1,199.5
2020 / 11,12,4292.3,385.7,571.6
2020 / 12,12,4174.0,488.3,684.6
2021 / 01,06,2248.6,205.6,220.9
2021 / 01,12,3697.3,418.6,625.2
2021 / 01,02,1546.8,145.7,173.4
2021 / 02,07,3300.6,294.4,429.7
2021 / 02,06,2064.4,164.3,192.2
2021 / 04,06,2368.4,213.1,231.4
2021 / 05,09,3926.9,270.1,411.8
2021 / 05,11,3270.4,302.2,373.7
2021 / 06,02,1731.7,113.9,152.6
2021 / 08,12,4475.6,372.7,622.2
2021 / 08,03,2301.8,149.0,218.2
2022 / 01,01,1985.5,122.1,129.0
2022 / 01,10,2218.9,289.4,339.7
2022 / 01,02,1434.4,90.5,125.2
2022 / 01,08,2120.5,301.6,348.1
2022 / 02,12,3396.4,335.7,517.2
2022 / 03,10,2575.5,287.6,343.3
2022 / 03,09,3694.6,237.8,369.9
2022 / 04,06,2221.8,132.7,177.1
2022 / 05,11,3181.2,266.9,328.5
2022 / 06,09,3973.7,252.1,390.9
2022 / 06,11,3267.6,291.7,370.3
2022 / 07,05,3218.2,212.4,328.5
2022 / 07,07,3473.7,270.4,425.8
2022 / 08,11,3209.6,247.8,340.5
2022 / 08,09,3877.5,212.1,364.3
2022 / 08,04,3941.7,265.9,360.1
2022 / 08,01,2217.9,138.4,151.9
2022 / 09,06,2217.0,132.2,179.1
2022 / 10,01,2078.8,123.9,136.2
2022 / 10,11,2996.8,254.7,327.1
2022 / 11,08,2333.4,298.0,351.8
2022 / 12,02,1535.8,155.2,184.1
2023 / 01,11,2851.8,274.9,340.5
2023 / 01,10,2444.5,292.8,338.3
2023 / 02,05,2766.2,164.2,270.1
2023 / 02,12,3001.7,243.6,452.9
2023 / 04,05,3023.6,185.1,305.9
2023 / 04,02,1396.3,85.7,121.4
2023 / 05,02,1571.0,83.5,125.3
2023 / 07,12,4128.4,323.4,580.3
2023 / 07,01,2125.6,129.2,142.7
2024 / 02,07,3233.3,246.7,387.3
2023 / 08,03,2137.3,152.6,184.1
2023 / 09,07,3575.0,276.3,433.7
2023 / 11,10,2716.0,267.9,325.8
2023 / 11,08,2358.9,297.2,346.7
