MONTH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED
2002 / 01,10,3206.6,678.3,563.0
2002 / 01,06,2550.4,10.2,434.9
2002 / 01,11,4499.2,854.1,684.2
2002 / 01,07,3191.7,10.5,568.8
2002 / 01,01,4761.6,452.3,520.4
2002 / 02,14,4287.6,419.8,475.8
2002 / 03,15,4492.4,817.9,610.4
2002 / 03,16,2261.7,97.5,148.8
2002 / 03,04,3147.4,170.3,344.5
2002 / 03,13,2138.1,38.2,229.1
2002 / 05,07,3500.0,9.9,524.0
2002 / 05,09,3365.8,251.0,352.9
2002 / 05,16,2521.7,104.0,167.6
2002 / 06,04,3429.3,171.0,385.6
2002 / 08,05,5531.5,226.1,
2002 / 09,07,3826.1,,
2002 / 10,01,5684.0,378.7,
2002 / 10,10,3927.0,635.0,
2002 / 10,16,2539.5,74.9,
2002 / 11,08,3441.3,216.2,
2002 / 11,15,5583.1,827.1,
2002 / 11,02,2760.3,461.9,
2002 / 11,05,5354.6,246.9,
2002 / 12,12,6093.7,645.2,
2002 / 12,06,2858.8,,
2002 / 12,10,3856.7,539.9,
2003 / 01,01,5161.7,394.9,
2003 / 01,06,2778.2,,
2003 / 01,08,3190.7,202.7,
2003 / 01,11,5162.0,448.1,
2003 / 02,06,2361.3,0.0,
2003 / 02,08,2794.8,110.7,
2003 / 02,17,4225.2,184.7,
2003 / 02,16,2102.1,47.7,
2003 / 03,07,3696.1,40.2,
2003 / 04,01,5977.9,407.2,
2003 / 04,18,6457.3,764.4,
2003 / 04,14,6086.9,503.9,
2003 / 05,07,4112.4,,
2003 / 05,14,6132.8,448.7,
2003 / 06,05,5759.4,264.6,
2003 / 06,03,5185.0,189.7,
2003 / 07,05,5822.9,232.5,
2003 / 07,07,4286.2,4.4,
2003 / 09,12,6821.8,739.4,
2003 / 09,13,2706.5,184.4,
2003 / 10,18,6644.1,818.3,
2003 / 10,02,2713.6,423.0,
2003 / 10,08,3380.3,242.5,
2003 / 10,16,2569.0,82.5,
2003 / 11,03,4604.7,183.4,
2003 / 11,07,3729.5,,
2003 / 11,09,3646.0,193.6,
2003 / 12,18,6431.3,872.1,
2004 / 01,17,4550.1,257.4,
2004 / 02,17,4455.6,300.5,
2004 / 02,12,5573.7,308.1,
2004 / 03,01,5699.4,360.6,
2004 / 03,04,3838.5,157.7,
2004 / 04,05,4801.9,315.6,331.9
2004 / 04,06,2597.3,557.6,288.8
2004 / 05,16,2395.2,97.9,102.9
2004 / 05,05,4949.1,302.7,375.4
2004 / 06,10,3965.0,745.0,428.1
2004 / 06,01,5406.6,424.5,360.7
2004 / 06,12,6630.0,728.3,466.6
2004 / 06,04,4059.7,194.7,299.4
2004 / 06,08,3487.7,271.2,240.3
2004 / 07,13,2582.1,215.5,218.8
2004 / 08,18,6811.7,827.1,583.2
2004 / 08,12,5121.9,625.4,394.7
2004 / 08,02,2340.8,447.5,220.5
2004 / 08,07,3695.6,496.6,443.7
2004 / 08,13,2539.0,204.5,200.2
2004 / 09,14,6055.9,556.1,399.2
2004 / 09,02,2354.0,529.5,232.1
2004 / 09,05,5134.8,320.2,415.3
2004 / 10,02,2273.2,513.3,233.5
2004 / 10,16,2305.3,106.2,106.9
2004 / 11,03,4602.1,252.3,220.2
2004 / 11,17,5200.9,420.2,351.7
2004 / 12,18,5826.2,1029.3,586.4
2004 / 12,09,3693.5,316.2,232.9
2004 / 12,07,3534.7,618.9,440.6
2004 / 12,01,4894.6,535.1,385.5
2004 / 12,06,2543.4,844.6,363.6
2005 / 02,07,2913.9,520.6,382.9
2005 / 02,02,1952.9,448.5,225.7
2005 / 03,05,4783.8,325.6,371.4
2005 / 03,16,2419.1,112.4,104.2
2005 / 04,09,3597.9,276.0,218.5
2005 / 04,02,2312.3,478.9,242.5
2005 / 06,11,5443.1,869.0,556.5
2005 / 06,18,6793.4,882.8,652.9
2005 / 06,08,3403.8,258.5,223.4
2005 / 07,06,2543.7,684.7,359.8
2005 / 07,11,5265.5,793.7,540.6
2005 / 07,16,2349.7,104.5,114.9
2005 / 08,05,5151.3,310.0,439.3
2005 / 08,07,3787.8,489.4,472.4
2005 / 08,16,2404.7,93.8,110.8
2005 / 08,02,2294.2,436.7,249.3
2005 / 09,10,3494.9,684.6,411.4
2005 / 09,08,3096.5,229.0,217.8
2005 / 11,09,3583.5,248.1,183.6
2005 / 11,10,3523.3,752.0,391.3
2005 / 12,03,4411.5,292.0,247.2
2006 / 01,08,2996.3,278.1,218.4
2006 / 01,07,3365.5,559.1,430.4
2006 / 01,04,3394.6,181.6,230.7
2006 / 01,18,5208.2,863.6,551.8
2006 / 02,08,2553.5,201.0,164.0
2006 / 02,12,5101.7,605.6,333.7
2006 / 02,14,4477.7,427.8,282.6
2006 / 02,04,2939.3,154.8,196.0
2006 / 02,18,4285.6,660.7,432.9
2006 / 02,16,1897.1,78.6,78.6
2006 / 03,01,4966.9,439.8,355.2
2006 / 03,08,2939.0,232.2,197.5
2006 / 03,03,4205.8,244.8,239.1
2006 / 04,01,4799.8,421.4,330.6
2006 / 04,13,2149.7,168.4,159.1
2006 / 05,04,3697.1,175.0,231.7
2006 / 05,08,3269.4,249.2,204.0
2006 / 07,07,3614.5,497.9,425.2
2006 / 07,01,4280.4,357.9,350.9
2006 / 07,08,3233.1,231.4,221.2
2006 / 07,05,5159.8,307.6,406.9
2006 / 07,03,4763.5,234.8,275.3
2006 / 07,17,5444.5,378.5,406.1
2006 / 08,16,2370.0,99.5,114.0
2006 / 08,06,2479.0,630.4,348.5
2006 / 08,12,4952.9,609.2,408.7
2006 / 09,12,6195.5,776.2,438.5
2006 / 09,08,2991.7,231.9,195.3
2006 / 10,15,4746.1,792.9,418.2
2006 / 11,02,2297.5,459.7,255.0
2006 / 11,14,5396.8,539.0,308.6
2006 / 12,05,4401.0,307.7,317.1
2007 / 01,01,4703.1,462.7,341.7
2007 / 01,05,4350.4,312.4,348.8
2007 / 01,13,2139.1,213.7,174.6
2007 / 01,07,3339.9,582.2,391.8
2007 / 01,17,4503.0,406.2,357.8
2007 / 02,06,1972.1,592.0,333.3
2007 / 03,11,4592.0,806.0,454.2
2007 / 03,07,3208.5,485.4,365.7
2007 / 04,10,3268.7,661.5,362.4
2007 / 05,01,4901.5,416.0,351.8
2007 / 05,02,2379.4,407.7,252.2
2007 / 05,11,5356.0,815.3,479.7
2007 / 05,09,3494.6,240.8,160.3
2007 / 06,11,5124.8,887.8,521.4
2007 / 06,02,2301.3,422.1,264.5
2007 / 07,04,3699.5,176.1,235.8
2007 / 07,14,5140.9,514.5,364.6
2007 / 08,12,5348.3,644.6,383.6
2007 / 08,11,5100.6,796.1,505.4
2007 / 08,07,3648.4,515.4,400.7
2007 / 09,07,3310.6,490.4,346.9
2007 / 10,18,5856.9,804.5,490.3
2007 / 11,03,4120.8,244.4,216.6
2007 / 11,14,5118.2,534.2,302.8
2007 / 11,11,4881.3,828.2,440.9
2007 / 12,11,4726.2,877.8,422.8
2007 / 12,16,2109.4,111.5,96.8
2008 / 01,07,3289.8,548.0,404.1
2008 / 02,14,4315.2,506.4,317.8
2008 / 02,11,4252.4,773.5,432.0
2008 / 02,05,3853.7,259.3,293.0
2008 / 03,14,4812.0,556.3,362.6
2008 / 03,04,3180.7,176.2,223.6
2008 / 04,07,3351.0,510.2,349.0
2008 / 04,01,4781.3,401.2,332.1
2008 / 04,03,4038.1,232.8,227.3
2008 / 04,04,3328.7,177.2,226.8
2008 / 07,11,5157.4,755.7,463.8
2008 / 07,18,6047.9,712.7,571.3
2008 / 07,05,4936.8,283.6,379.5
2008 / 08,02,2051.8,420.1,260.9
2008 / 09,01,4727.4,473.2,368.9
2008 / 10,05,4231.9,259.1,326.9
2008 / 11,03,3748.1,217.0,217.6
2008 / 11,08,2531.2,228.9,183.8
2008 / 11,07,3106.8,437.4,308.7
2008 / 12,05,4547.1,325.9,374.3
2009 / 01,09,2913.7,255.5,190.3
2009 / 01,01,4432.4,498.7,426.0
2009 / 02,04,2758.1,158.0,205.6
2009 / 02,01,4026.0,411.7,326.8
2009 / 03,04,3146.2,163.1,224.1
2009 / 03,09,3034.8,214.0,157.1
2009 / 03,06,2115.3,541.5,352.5
2009 / 05,02,2257.5,412.2,287.2
2009 / 06,17,5021.6,367.3,403.9
2009 / 06,09,3435.0,229.1,169.4
2009 / 07,18,6147.9,679.0,590.8
2009 / 07,09,3313.0,232.3,195.3
2009 / 07,10,3541.5,566.7,359.3
2009 / 07,04,3566.6,181.8,267.0
2009 / 08,12,4860.9,543.7,334.4
2009 / 08,06,2228.3,535.5,356.1
2009 / 08,16,2169.2,95.0,127.7
2009 / 09,16,2074.6,97.4,121.7
2009 / 09,06,2314.4,590.1,365.3
2009 / 10,13,2149.3,176.2,184.1
2009 / 10,18,5542.0,670.8,492.8
2009 / 10,01,4701.1,468.3,381.8
2009 / 11,07,3211.7,399.6,302.8
2009 / 11,02,2156.7,397.9,247.2
2009 / 11,18,5433.5,596.1,400.2
2009 / 12,03,4065.2,244.0,232.2
2009 / 12,01,4669.8,507.7,407.6
2009 / 12,18,5242.4,780.7,519.8
2009 / 12,08,2827.9,274.1,216.8
2010 / 01,11,4452.6,763.5,448.0
2010 / 01,01,4265.5,470.9,373.0
2010 / 01,16,1794.1,106.4,115.7
2010 / 02,15,3231.8,546.4,318.4
2010 / 02,13,1573.5,132.9,126.5
2010 / 03,18,5857.3,704.7,509.1
2010 / 03,03,4536.4,271.9,256.1
2010 / 04,09,3143.6,225.5,174.0
2010 / 04,11,4838.6,681.3,418.5
2010 / 05,18,5490.3,607.6,472.9
2010 / 05,15,4423.0,631.6,392.5
2010 / 05,11,4727.3,652.0,394.2
2010 / 05,12,5604.8,611.4,354.2
2010 / 06,02,2350.3,441.7,300.8
2010 / 06,09,3474.8,225.4,180.7
2010 / 07,18,5682.6,628.5,546.5
2010 / 08,10,3386.1,532.1,337.5
2010 / 08,08,2885.9,234.9,216.4
2010 / 08,02,2182.7,398.9,260.5
2010 / 09,16,1955.7,109.0,117.9
2010 / 10,18,5327.2,637.2,460.7
2010 / 11,05,4317.9,229.2,269.0
2010 / 12,10,2579.1,530.0,289.6
2010 / 12,15,3379.8,607.8,320.7
2010 / 12,07,2514.9,367.6,275.5
2010 / 12,01,3537.3,448.7,337.8
2011 / 01,15,4216.8,637.8,407.3
2011 / 01,14,4678.3,462.3,315.1
2011 / 01,10,3313.9,552.2,350.3
2011 / 02,17,4121.8,328.6,345.5
2011 / 02,11,4495.4,698.2,415.3
2011 / 02,09,3088.1,228.8,158.7
2011 / 03,15,4560.7,699.5,391.2
2011 / 03,18,5237.2,658.3,461.3
2011 / 03,16,2055.7,113.1,104.5
2011 / 05,13,2191.5,177.9,144.1
2011 / 05,05,4665.2,244.7,274.4
2011 / 06,09,3473.1,227.3,158.6
2011 / 06,01,5023.6,479.7,388.5
2011 / 06,12,6099.9,660.8,360.2
2011 / 06,11,5163.2,704.3,403.5
2011 / 07,14,4686.9,402.2,279.5
2011 / 07,03,4162.8,210.8,218.0
2011 / 07,15,4079.2,553.6,358.3
2011 / 08,11,5328.6,687.2,397.5
2011 / 08,14,5168.2,446.6,290.5
2011 / 08,01,4385.6,417.6,353.8
2011 / 09,06,2444.3,635.8,377.5
2011 / 10,02,2291.2,454.9,276.2
2011 / 11,09,3237.8,214.3,142.8
2011 / 11,07,3465.7,407.7,288.1
2012 / 01,07,3156.7,436.6,343.4
2012 / 01,11,4478.1,680.2,431.0
2012 / 01,04,3070.3,189.0,237.0
2012 / 01,08,2609.1,255.5,228.4
2012 / 02,04,2835.8,162.6,200.4
2012 / 04,11,4467.8,610.8,342.8
2012 / 04,07,3129.2,390.2,280.4
2012 / 04,04,3087.1,168.2,209.4
2012 / 05,14,5213.0,456.9,270.4
2012 / 05,02,2560.9,380.5,278.6
2012 / 05,16,2086.5,104.3,109.1
2012 / 06,17,4569.2,341.4,352.7
2012 / 07,01,4159.2,395.5,336.3
2012 / 07,03,4245.1,220.0,225.6
2012 / 07,13,2262.4,160.4,159.7
2012 / 08,12,5085.0,567.9,300.0
2012 / 08,15,4380.5,595.5,365.9
2012 / 09,18,5338.5,581.3,461.0
2012 / 09,01,4723.9,513.7,322.3
2012 / 09,14,4785.9,459.5,289.1
2012 / 09,08,2647.9,218.9,181.6
2012 / 10,09,3226.5,209.1,142.1
2012 / 10,07,3287.2,387.9,285.8
2012 / 11,17,4541.1,322.0,335.7
2012 / 12,12,5969.2,737.9,328.0
2012 / 12,04,3187.2,208.9,222.5
2012 / 12,14,5002.1,526.0,289.4
2012 / 12,17,4366.9,379.8,310.5
2012 / 12,10,3328.4,617.6,328.8
2012 / 12,13,2551.1,151.8,108.2
2013 / 01,02,2289.3,463.8,312.6
2013 / 01,17,3891.4,339.6,350.5
2013 / 02,01,4395.4,424.2,320.2
2013 / 02,10,2774.1,497.2,280.6
2013 / 03,02,2226.9,373.0,268.1
2013 / 03,01,4907.5,463.4,335.2
2013 / 04,04,3236.6,173.9,218.5
2013 / 04,02,2384.6,376.2,267.9
2013 / 06,09,3212.0,233.9,158.3
2013 / 06,14,4924.2,470.3,297.9
2013 / 06,10,3408.5,549.1,354.9
2013 / 07,13,2547.1,178.2,168.1
2013 / 07,15,4750.6,580.8,412.1
2013 / 07,16,2167.1,94.6,119.3
2013 / 08,08,2781.5,213.3,192.5
2013 / 09,05,4190.2,244.7,279.9
2013 / 10,07,3341.4,414.6,319.1
2013 / 11,15,4510.3,585.4,354.3
2013 / 11,05,4021.5,215.5,251.1
2013 / 11,07,3179.2,398.7,318.3
2013 / 11,10,3328.5,516.5,329.3
2013 / 11,17,4101.3,299.4,300.6
2013 / 12,18,5375.9,714.3,512.2
2013 / 12,01,4961.9,528.1,403.7
2013 / 12,05,4410.6,279.6,301.2
2013 / 12,11,4768.6,757.0,443.8
2014 / 01,03,3698.8,271.8,245.1
2014 / 01,06,2241.1,611.8,419.2
2014 / 01,09,2872.1,250.7,198.2
2014 / 03,09,2957.9,222.4,159.8
2014 / 05,12,6423.4,732.0,383.1
2014 / 07,15,4535.5,573.2,390.9
2014 / 07,08,2851.7,255.3,233.2
2014 / 07,13,2344.7,172.0,161.4
2014 / 08,06,2058.0,522.4,345.5
2014 / 08,11,4855.6,618.7,412.4
2014 / 09,17,4385.8,306.4,348.8
2014 / 10,10,3331.4,555.4,364.9
2014 / 10,17,4211.7,312.6,337.8
2014 / 12,14,5240.7,563.6,342.1
2014 / 12,12,6435.7,810.5,385.5
2014 / 12,03,4154.3,346.0,281.0
2014 / 12,17,4674.7,398.4,400.3
2014 / 12,04,3122.7,236.8,268.5
2015 / 01,17,3668.9,259.5,307.2
2015 / 01,11,4372.3,573.3,394.7
